,acquisition_date,acquisitions
0,1970-01-01,8
1,1970-01-02,9
2,1970-01-03,8
3,1970-01-04,11
4,1970-01-05,13
5,1970-01-06,10
6,1970-01-07,10
7,1970-01-08,11
8,1970-01-09,6
9,1970-01-10,12
10,1970-01-11,3
11,1970-01-12,4
12,1970-01-13,6
13,1970-01-14,8
14,1970-01-15,8
15,1970-01-16,10
16,1970-01-17,13
17,1970-01-18,9
18,1970-01-19,19
19,1970-01-20,8
20,1970-01-21,12
21,1970-01-22,9
22,1970-01-23,6
23,1970-01-24,12
24,1970-01-25,8
25,1970-01-26,11
26,1970-01-27,10
27,1970-01-28,9
28,1970-01-29,10
29,1970-01-30,13
30,1970-01-31,12
31,1970-02-01,8
32,1970-02-02,7
33,1970-02-03,8
34,1970-02-04,7
35,1970-02-05,10
36,1970-02-06,13
37,1970-02-07,12
38,1970-02-08,9
39,1970-02-09,14
40,1970-02-10,8
41,1970-02-11,6
42,1970-02-12,10
43,1970-02-13,9
44,1970-02-14,10
45,1970-02-15,4
46,1970-02-16,11
47,1970-02-17,7
48,1970-02-18,10
49,1970-02-19,8
50,1970-02-20,6
51,1970-02-21,11
52,1970-02-22,7
53,1970-02-23,3
54,1970-02-24,11
55,1970-02-25,13
56,1970-02-26,8
57,1970-02-27,16
58,1970-02-28,7
59,1970-03-01,8
60,1970-03-02,6
61,1970-03-03,10
62,1970-03-04,11
63,1970-03-05,9
64,1970-03-06,9
65,1970-03-07,9
66,1970-03-08,11
67,1970-03-09,11
68,1970-03-10,5
69,1970-03-11,14
70,1970-03-12,12
71,1970-03-13,13
72,1970-03-14,12
73,1970-03-15,11
74,1970-03-16,17
75,1970-03-17,15
76,1970-03-18,10
77,1970-03-19,7
78,1970-03-20,5
79,1970-03-21,8
80,1970-03-22,12
81,1970-03-23,14
82,1970-03-24,13
83,1970-03-25,7
84,1970-03-26,14
85,1970-03-27,17
86,1970-03-28,12
87,1970-03-29,11
88,1970-03-30,7
89,1970-03-31,16
90,1970-04-01,11
91,1970-04-02,5
92,1970-04-03,11
93,1970-04-04,13
94,1970-04-05,8
95,1970-04-06,4
96,1970-04-07,8
97,1970-04-08,16
98,1970-04-09,10
99,1970-04-10,10
100,1970-04-11,11
101,1970-04-12,15
102,1970-04-13,15
103,1970-04-14,9
104,1970-04-15,5
105,1970-04-16,11
106,1970-04-17,7
107,1970-04-18,4
108,1970-04-19,10
109,1970-04-20,8
110,1970-04-21,12
111,1970-04-22,9
112,1970-04-23,8
113,1970-04-24,11
114,1970-04-25,9
115,1970-04-26,12
116,1970-04-27,11
117,1970-04-28,5
118,1970-04-29,14
119,1970-04-30,5
120,1970-05-01,7
121,1970-05-02,5
122,1970-05-03,15
123,1970-05-04,8
124,1970-05-05,13
125,1970-05-06,4
126,1970-05-07,8
127,1970-05-08,6
128,1970-05-09,11
129,1970-05-10,10
130,1970-05-11,10
131,1970-05-12,13
132,1970-05-13,15
133,1970-05-14,9
134,1970-05-15,10
135,1970-05-16,8
136,1970-05-17,11
137,1970-05-18,5
138,1970-05-19,19
139,1970-05-20,15
140,1970-05-21,6
141,1970-05-22,4
142,1970-05-23,11
143,1970-05-24,10
144,1970-05-25,13
145,1970-05-26,7
146,1970-05-27,6
147,1970-05-28,8
148,1970-05-29,14
149,1970-05-30,9
150,1970-05-31,10
151,1970-06-01,12
152,1970-06-02,16
153,1970-06-03,8
154,1970-06-04,10
155,1970-06-05,11
156,1970-06-06,10
157,1970-06-07,6
158,1970-06-08,6
159,1970-06-09,17
160,1970-06-10,8
161,1970-06-11,12
162,1970-06-12,11
163,1970-06-13,7
164,1970-06-14,12
165,1970-06-15,5
166,1970-06-16,9
167,1970-06-17,7
168,1970-06-18,7
169,1970-06-19,6
170,1970-06-20,8
171,1970-06-21,9
172,1970-06-22,10
173,1970-06-23,5
174,1970-06-24,11
175,1970-06-25,10
176,1970-06-26,10
177,1970-06-27,12
178,1970-06-28,7
179,1970-06-29,9
180,1970-06-30,18
181,1970-07-01,10
182,1970-07-02,9
183,1970-07-03,10
184,1970-07-04,11
185,1970-07-05,10
186,1970-07-06,9
187,1970-07-07,7
188,1970-07-08,8
189,1970-07-09,7
190,1970-07-10,10
191,1970-07-11,11
192,1970-07-12,12
193,1970-07-13,8
194,1970-07-14,7
195,1970-07-15,7
196,1970-07-16,14
197,1970-07-17,15
198,1970-07-18,8
199,1970-07-19,8
200,1970-07-20,7
201,1970-07-21,11
202,1970-07-22,10
203,1970-07-23,15
204,1970-07-24,6
205,1970-07-25,8
206,1970-07-26,8
207,1970-07-27,6
208,1970-07-28,4
209,1970-07-29,15
210,1970-07-30,10
211,1970-07-31,8
212,1970-08-01,9
213,1970-08-02,8
214,1970-08-03,5
215,1970-08-04,6
216,1970-08-05,12
217,1970-08-06,9
218,1970-08-07,13
219,1970-08-08,6
220,1970-08-09,11
221,1970-08-10,9
222,1970-08-11,14
223,1970-08-12,5
224,1970-08-13,9
225,1970-08-14,5
226,1970-08-15,8
227,1970-08-16,10
228,1970-08-17,12
229,1970-08-18,9
230,1970-08-19,10
231,1970-08-20,10
232,1970-08-21,13
233,1970-08-22,5
234,1970-08-23,10
235,1970-08-24,6
236,1970-08-25,12
237,1970-08-26,9
238,1970-08-27,8
239,1970-08-28,13
240,1970-08-29,14
241,1970-08-30,15
242,1970-08-31,6
243,1970-09-01,10
244,1970-09-02,17
245,1970-09-03,4
246,1970-09-04,14
247,1970-09-05,13
248,1970-09-06,14
249,1970-09-07,10
250,1970-09-08,9
251,1970-09-09,7
252,1970-09-10,10
253,1970-09-11,10
254,1970-09-12,10
255,1970-09-13,7
256,1970-09-14,7
257,1970-09-15,13
258,1970-09-16,11
259,1970-09-17,10
260,1970-09-18,9
261,1970-09-19,6
262,1970-09-20,5
263,1970-09-21,7
264,1970-09-22,6
265,1970-09-23,12
266,1970-09-24,7
267,1970-09-25,8
268,1970-09-26,13
269,1970-09-27,9
270,1970-09-28,14
271,1970-09-29,14
272,1970-09-30,5
273,1970-10-01,9
274,1970-10-02,8
275,1970-10-03,12
276,1970-10-04,7
277,1970-10-05,10
278,1970-10-06,7
279,1970-10-07,4
280,1970-10-08,18
281,1970-10-09,11
282,1970-10-10,5
283,1970-10-11,10
284,1970-10-12,7
285,1970-10-13,8
286,1970-10-14,7
287,1970-10-15,10
288,1970-10-16,6
289,1970-10-17,7
290,1970-10-18,10
291,1970-10-19,9
292,1970-10-20,12
293,1970-10-21,5
294,1970-10-22,10
295,1970-10-23,13
296,1970-10-24,11
297,1970-10-25,11
298,1970-10-26,14
299,1970-10-27,11
300,1970-10-28,8
301,1970-10-29,11
302,1970-10-30,14
303,1970-10-31,11
304,1970-11-01,11
305,1970-11-02,11
306,1970-11-03,14
307,1970-11-04,11
308,1970-11-05,8
309,1970-11-06,10
310,1970-11-07,11
311,1970-11-08,9
312,1970-11-09,6
313,1970-11-10,13
314,1970-11-11,9
315,1970-11-12,8
316,1970-11-13,4
317,1970-11-14,14
318,1970-11-15,17
319,1970-11-16,10
320,1970-11-17,7
321,1970-11-18,8
322,1970-11-19,8
323,1970-11-20,5
324,1970-11-21,6
325,1970-11-22,9
326,1970-11-23,7
327,1970-11-24,12
328,1970-11-25,13
329,1970-11-26,10
330,1970-11-27,8
331,1970-11-28,8
332,1970-11-29,6
333,1970-11-30,5
334,1970-12-01,7
335,1970-12-02,14
336,1970-12-03,8
337,1970-12-04,9
338,1970-12-05,1
339,1970-12-06,10
340,1970-12-07,10
341,1970-12-08,14
342,1970-12-09,12
343,1970-12-10,7
344,1970-12-11,11
345,1970-12-12,13
346,1970-12-13,8
347,1970-12-14,6
348,1970-12-15,9
349,1970-12-16,11
350,1970-12-17,6
351,1970-12-18,11
352,1970-12-19,9
353,1970-12-20,13
354,1970-12-21,8
355,1970-12-22,8
356,1970-12-23,10
357,1970-12-24,13
358,1970-12-25,13
359,1970-12-26,10
360,1970-12-27,8
361,1970-12-28,12
362,1970-12-29,10
363,1970-12-30,9
364,1970-12-31,12
365,1971-01-01,4
366,1971-01-02,7
367,1971-01-03,7
368,1971-01-04,10
369,1971-01-05,6
370,1971-01-06,10
371,1971-01-07,12
372,1971-01-08,11
373,1971-01-09,6
374,1971-01-10,5
375,1971-01-11,12
376,1971-01-12,9
377,1971-01-13,9
378,1971-01-14,8
379,1971-01-15,15
380,1971-01-16,7
381,1971-01-17,6
382,1971-01-18,13
383,1971-01-19,11
384,1971-01-20,9
385,1971-01-21,13
386,1971-01-22,7
387,1971-01-23,3
388,1971-01-24,8
389,1971-01-25,7
390,1971-01-26,14
391,1971-01-27,10
392,1971-01-28,15
393,1971-01-29,13
394,1971-01-30,8
395,1971-01-31,10
396,1971-02-01,5
397,1971-02-02,13
398,1971-02-03,13
399,1971-02-04,10
400,1971-02-05,16
401,1971-02-06,10
402,1971-02-07,12
403,1971-02-08,10
404,1971-02-09,14
405,1971-02-10,7
406,1971-02-11,6
407,1971-02-12,8
408,1971-02-13,7
409,1971-02-14,7
410,1971-02-15,13
411,1971-02-16,14
412,1971-02-17,11
413,1971-02-18,10
414,1971-02-19,7
415,1971-02-20,6
416,1971-02-21,14
417,1971-02-22,6
418,1971-02-23,8
419,1971-02-24,8
420,1971-02-25,5
421,1971-02-26,12
422,1971-02-27,11
423,1971-02-28,7
424,1971-03-01,8
425,1971-03-02,8
426,1971-03-03,11
427,1971-03-04,8
428,1971-03-05,9
429,1971-03-06,12
430,1971-03-07,11
431,1971-03-08,7
432,1971-03-09,9
433,1971-03-10,6
434,1971-03-11,7
435,1971-03-12,7
436,1971-03-13,8
437,1971-03-14,9
438,1971-03-15,9
439,1971-03-16,7
440,1971-03-17,7
441,1971-03-18,13
442,1971-03-19,12
443,1971-03-20,8
444,1971-03-21,7
445,1971-03-22,5
446,1971-03-23,9
447,1971-03-24,8
448,1971-03-25,9
449,1971-03-26,11
450,1971-03-27,7
451,1971-03-28,7
452,1971-03-29,10
453,1971-03-30,14
454,1971-03-31,8
455,1971-04-01,7
456,1971-04-02,6
457,1971-04-03,16
458,1971-04-04,6
459,1971-04-05,11
460,1971-04-06,9
461,1971-04-07,13
462,1971-04-08,14
463,1971-04-09,12
464,1971-04-10,7
465,1971-04-11,9
466,1971-04-12,15
467,1971-04-13,10
468,1971-04-14,9
469,1971-04-15,6
470,1971-04-16,9
471,1971-04-17,7
472,1971-04-18,12
473,1971-04-19,11
474,1971-04-20,11
475,1971-04-21,7
476,1971-04-22,11
477,1971-04-23,7
478,1971-04-24,11
479,1971-04-25,10
480,1971-04-26,10
481,1971-04-27,3
482,1971-04-28,4
483,1971-04-29,7
484,1971-04-30,8
485,1971-05-01,14
486,1971-05-02,14
487,1971-05-03,7
488,1971-05-04,8
489,1971-05-05,7
490,1971-05-06,10
491,1971-05-07,6
492,1971-05-08,7
493,1971-05-09,10
494,1971-05-10,8
495,1971-05-11,8
496,1971-05-12,11
497,1971-05-13,7
498,1971-05-14,14
499,1971-05-15,6
500,1971-05-16,8
501,1971-05-17,11
502,1971-05-18,11
503,1971-05-19,12
504,1971-05-20,9
505,1971-05-21,6
506,1971-05-22,7
507,1971-05-23,9
508,1971-05-24,12
509,1971-05-25,10
510,1971-05-26,14
511,1971-05-27,9
512,1971-05-28,14
513,1971-05-29,7
514,1971-05-30,14
515,1971-05-31,8
516,1971-06-01,9
517,1971-06-02,15
518,1971-06-03,7
519,1971-06-04,14
520,1971-06-05,7
521,1971-06-06,6
522,1971-06-07,6
523,1971-06-08,7
524,1971-06-09,7
525,1971-06-10,11
526,1971-06-11,10
527,1971-06-12,7
528,1971-06-13,10
529,1971-06-14,11
530,1971-06-15,6
531,1971-06-16,12
532,1971-06-17,9
533,1971-06-18,6
534,1971-06-19,13
535,1971-06-20,6
536,1971-06-21,11
537,1971-06-22,11
